instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,optimal,,5501.845888287165,5501.8458883,1.2835698726121336e-08,2.3329804190657553e-12,1,1,,1,0.0,0,1.676582,1.6105857,6694,simplex-dual+primal,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924090903,987232.16072,7.968310909694992,8.07136479820877e-06,0,1,,0,0.0,0,2.758207,2.646049,4018,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.9631623803,225494.96316,2.3802858777344227e-06,1.0555827253868593e-11,1,1,,1,0.0,0,0.04374,0.0016591,70,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.026928,0.0004938,13,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.286576495,-35991767.287,0.00042350590229034424,1.1766743736513097e-11,1,1,,1,0.0,0,0.040899,0.0121586,147,simplex-dual+primal,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,optimal,,-20239252.355977114,-20239252.356,2.2884458303451538e-05,1.1306968212522613e-12,1,1,,1,0.0,0,0.045528,0.0119231,161,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,optimal,,10312115.93508923,10312115.935,8.9230015873909e-05,8.6529298580766e-12,1,1,,1,0.0,0,0.049754,0.0120049,166,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012044,-158.62801845,1.2042278285662178e-10,7.591520340057666e-13,1,1,,1,0.0,0,0.048658,0.0177116,451,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.485807200006,33592.485807,2.000087988562882e-07,5.953974350258128e-12,1,1,,1,0.0,0,0.025367,0.0040382,115,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828234,-30.812149846,1.7176660094264662e-10,5.574638634471823e-12,1,1,,1,0.0,0,0.02824,0.0019658,96,simplex-dual,d9a09c7,Windows-AMD64,2026-09-06T07:29:34+00:00,
