instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
sc105,pdhg,1e-08,1,optimal,-52.20206161113638,-52.202061212,7.64598893884165e-09,60320,0.132159,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc105,pdhg,1e-08,0,optimal,-52.202061198350194,-52.202061212,2.614801551644614e-10,337120,0.563101,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50a,pdhg,1e-08,1,optimal,-64.57507930850335,-64.575077059,3.483547300010833e-08,11440,0.051204,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50a,pdhg,1e-08,0,optimal,-64.57507708100185,-64.575077059,3.407174615792741e-10,33560,0.060721,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50b,pdhg,1e-08,1,optimal,-70.00000004308005,-70.0,6.15429282139043e-10,12800,0.066836,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50b,pdhg,1e-08,0,optimal,-70.00000009183181,-70.0,1.3118829705100714e-09,38280,0.065754,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
share2b,pdhg,1e-08,1,iteration_limit,-415.73225101436395,-415.73224074,2.471389740239941e-08,1000000,2.16283,0,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
share2b,pdhg,1e-08,0,iteration_limit,-415.71932985631446,-415.73224074,3.105576719902241e-05,1000000,2.298392,0,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
stocfor1,pdhg,1e-08,1,optimal,-41131.97517938536,-41131.976219,2.5275095791092e-08,233760,0.564329,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
stocfor1,pdhg,1e-08,0,optimal,-41131.97732518461,-41131.976219,2.6893544096436464e-08,358760,0.769865,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
