family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,16,73016,10,12,unbounded,0.0,-54.0,1.0,,,,7,0.0014446,route: the scaled attempt returned unbounded after 0.0 s of its 15 s share; neither attempt produced a usable point; the scaled attempt came closer to feasibility and is reported,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,18,71018,10,12,optimal,123.64814814814815,-43.0,3.875538329026701,,,1,8,0.0021587,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,18,72018,10,12,optimal,60.6818312594404,335.0,0.8188602051957002,,,0,10,0.001287,[FAIL] complementary slackness     worst |multiplier| * slack = 5.145e+01 on R1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,18,73018,10,12,optimal,-822.5999999999999,-372.0,1.2112903225806448,,,0,15,0.0007514,[FAIL] row activity                worst violation 1.322e-07 (1.322e-07 relative to the row's terms) on R3; [FAIL] complementary slackness     worst |multiplier| * slack = 7.677e+02 on R5,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,20,71020,10,12,optimal,-484.29485049834034,-253.0,0.9142088952503571,,,0,8,0.0021818,[FAIL] complementary slackness     worst |multiplier| * slack = 1.990e+03 on R9,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,20,72020,10,12,optimal,-63.746031746031804,-215.0,0.7035068290882242,,,0,8,0.0006173,[FAIL] complementary slackness     worst |multiplier| * slack = 3.480e+02 on R1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,20,73020,10,12,feasible,-296.6963636363637,-488.0,0.39201564828614,,,1,5,0.0009759,route: the scaled attempt returned infeasible after 0.0 s of its 15 s share; the unscaled retry produced this answer; engine reported optimal but the reduced costs violate dual feasibility by 1.406e+1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,22,71022,10,12,optimal,-384.6666666666667,-403.0,0.045492142266335765,,,1,3,0.0013323,route: the scaled attempt returned unbounded after 0.0 s of its 15 s share; the unscaled retry produced this answer,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,22,72022,10,12,feasible,273.3884615384615,153.0,0.7868526897938661,,,1,4,0.0010566,route: the scaled attempt returned unbounded after 0.0 s of its 15 s share; the unscaled retry produced this answer; engine reported optimal but the reduced costs violate dual feasibility by 1.560e+12,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,22,73022,10,12,optimal,-150.1550595238096,-291.0,0.48400323187694294,,,1,6,0.0004438,route: the scaled attempt returned infeasible after 0.0 s of its 15 s share; the unscaled retry produced this answer,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,24,71024,10,12,optimal,50.8452830188679,68.0,0.25227524972253085,,,1,5,0.0008156,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,24,72024,10,12,optimal,-0.8574423480084938,-223.0,0.9961549670492892,,,1,6,0.0005382,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,24,73024,10,12,optimal,170.17185473411178,83.0,1.0502633100495395,,,0,12,0.0006507,[FAIL] complementary slackness     worst |multiplier| * slack = 1.510e+02 on R1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,26,71026,10,12,optimal,190.13964507489908,284.0,0.3304942074827497,,,0,9,0.0003322,[FAIL] complementary slackness     worst |multiplier| * slack = 4.299e+01 on R1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,26,72026,10,12,optimal,-140.0,-151.0,0.0728476821192053,,,1,4,0.0013973,route: the scaled attempt returned unbounded after 0.0 s of its 15 s share; the unscaled retry produced this answer,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,26,73026,10,12,feasible,89.64285714285714,-33.0,3.7164502164502164,,,1,3,0.0006831,route: the scaled attempt returned unbounded after 0.0 s of its 15 s share; the unscaled retry produced this answer; engine reported optimal but the reduced costs violate dual feasibility by 2.368e+14,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,28,71028,10,12,optimal,859.8,-115.0,8.476521739130435,,,1,4,0.0004821,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,28,72028,10,12,feasible,43.09268292682928,202.0,0.786669886500845,,,1,5,0.0004718,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
