instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.023262,0.0020283,159,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.019105,0.0003029,14,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.286576495,-35991767.287,0.00042350590229034424,1.1766743736513097e-11,1,1,,1,0.0,0,0.030292,0.0059995,141,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012075,-158.62801845,1.2073542166035622e-10,7.611229267067492e-13,1,1,,1,0.0,0,0.035613,0.0112244,476,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,,1,0.0,0,0.028926,0.0026591,93,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.81214984582823,-30.812149846,1.7177015365632542e-10,5.574753936834577e-12,1,1,,1,0.0,0,0.022031,0.0032001,298,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.2135675071272,-335.21356751,2.8728095458063763e-09,8.570087324167377e-12,1,1,,1,0.0,0,0.047331,0.0192222,823,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.0187280152027,-315.01872802,4.7973003347578924e-09,1.5228619469421892e-11,1,1,,1,0.0,0,0.025774,0.0024902,208,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394208493,1373.0803942,8.493088898831047e-09,6.185427258816399e-12,1,1,,1,0.0,0,0.03601,0.0064024,149,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.509896488126,1518.5098965,1.1873908078996465e-08,7.819447279444493e-12,1,1,,1,0.0,0,0.050762,0.0156275,314,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,,2690.012913768144,2690.0129138,3.185641617164947e-08,1.1842477040992363e-11,1,1,,1,0.0,0,0.033867,0.0076014,370,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,time_limit,time limit 59.9953s reached,315.4916666666664,315.49166667,3.333582299092086e-09,1.0566308563005464e-11,0,,,0,0.0,0,120.119047,120.0307425,225131,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,60.317766,60.2711074,1485,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929066370558,-18.751929066,7.112999999629441,0.3793209741032113,0,1,,0,7.113,1,0.108745,0.0464705,588,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,,-755.7152331580163,-755.71521774,1.5418016346302466e-05,2.040188682770043e-08,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.138836,0.0781033,672,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559561158,172790.96547,0.10012561158509925,5.794609186467163e-07,1,1,,1,0.0,0,0.129766,0.0687276,589,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.37809242094,-9146.3780924,2.09402060136199e-08,2.2894533554237983e-12,1,1,,1,0.0,0,0.259723,0.1786943,1622,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329383251,-68464.293294,1.6749254427850246e-07,2.4464218678085877e-12,1,1,,1,0.0,0,32.024177,31.6322945,30221,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722049,-664.21873953,0.0002217422048715889,3.338391280988147e-07,1,1,,1,0.0,0,60.09717,60.0317929,278,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357481,-106870941.29,0.0035748034715652466,3.344972382965007e-11,1,1,,1,0.0,0,0.150875,0.0693441,396,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48254484,-160834336.48,0.0025448501110076904,1.582280355491221e-11,1,1,,1,0.0,0,0.217108,0.1198166,588,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.8147118,-47787811.815,0.0002881959080696106,6.030740833777819e-12,1,1,,1,0.0,0,0.083519,0.0172568,180,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630463,-896644.82186,3.0462397262454033e-06,3.397376142680759e-12,1,1,,1,0.0,0,0.096734,0.0379009,251,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001299062047,-1749.9001299,6.20480022917036e-09,3.545802485039498e-12,1,1,,1,0.0,0,0.047821,0.0033953,70,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.26470606188003,-25.264706062,1.1996803550573532e-10,4.748443746439472e-12,1,1,,1,0.0,0,0.064898,0.0176842,255,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.139258920376,-2581.1392641,5.179624167794827e-06,2.0067201486708137e-09,1,1,,1,0.0,0,0.554363,0.4674058,1875,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.053506,0.002433,45,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.0,0,0.055733,0.0048754,106,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.20206121170713,-52.202061212,2.928643993982405e-10,5.610207577989622e-12,1,1,,1,0.0,0,0.080992,0.0264021,251,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:15:07+00:00,ratio_test=harris
