instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,numerical_error,basis became singular at iteration 3879,61.60126,5501.8458883,5440.2446283,0.9888035286246387,0,,,0,0.0,0,2.788729,2.7644494,3879,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924090903,987232.16072,7.968310909694992,8.07136479820877e-06,0,1,,0,0.0,0,1.631813,1.5908105,10216,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.015846,0.0012655,158,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.013063,0.0002367,16,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.28657649,-35991767.287,0.00042351335287094116,1.1766950744425143e-11,1,1,,1,0.0,0,0.022118,0.0060766,141,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,optimal,,-20239252.355977118,-20239252.356,2.2880733013153076e-05,1.130512758608398e-12,1,1,,1,0.0,0,0.027098,0.0090232,218,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 1.014e-04, above the 1.0e-07 tolerance; it is not a feasible point",10312115.935089208,10312115.935,8.920766413211823e-05,8.650762335724092e-12,0,,,0,0.0,0,0.031339,0.0130055,163,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012072,-158.62801845,1.2070699995092582e-10,7.609437546430236e-13,1,1,,1,0.0,0,0.032222,0.0148361,574,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,,1,0.0,0,0.018474,0.002781,96,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828237,-30.812149846,1.7176304822896782e-10,5.5745233321090675e-12,1,1,,1,0.0,0,0.018328,0.0040446,337,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
bnl1,7a842adca058eaa3cb712b3bbae357602f22df6cc318c4d278f6600167fe2300,643,1175,5121,optimal,,1977.6295615228903,1977.6292856,0.0002759228902959876,1.395220491045036e-07,1,1,,1,0.0,0,0.194696,0.1730198,3418,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
bnl2,eafd7e49005db1a020d420b3fbed2e124bebf46740c0b2550edcbaa17b07ad6b,2324,3489,13999,numerical_error,basis became singular at iteration 6733,11.489500000000001,1811.2365404,1799.7470404,0.9936565436133138,0,,,0,0.0,0,4.33341,4.3017411,6733,simplex-primal,6a74e68,Windows-AMD64,2026-08-30T13:02:40+00:00
