instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.021375,0.0015496,158,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.024902,0.0003572,16,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.28657649,-35991767.287,0.00042351335287094116,1.1766950744425143e-11,1,1,,1,0.048762,0.0142639,141,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012072,-158.62801845,1.2070699995092582e-10,7.609437546430236e-13,1,1,,1,0.055786,0.0291294,574,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,,1,0.034073,0.0051905,96,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828237,-30.812149846,1.7176304822896782e-10,5.5745233321090675e-12,1,1,,1,0.033101,0.0102321,337,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.21356750712687,-335.21356751,2.873150606319541e-09,8.571104766616673e-12,1,1,,1,0.050191,0.0216167,760,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.0187280152028,-315.01872802,4.797243491339032e-09,1.522843902485208e-11,1,1,,1,0.032593,0.0060575,208,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.0803942085097,1373.0803942,8.509687177138403e-09,6.197515610217722e-12,1,1,,1,0.033557,0.0065317,167,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.509896488128,1518.5098965,1.1871861715917476e-08,7.818099666838409e-12,1,1,,1,0.051712,0.017928,323,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,,2690.012913768161,2690.0129138,3.1839135772315785e-08,1.1836053131558681e-11,1,1,,1,0.061745,0.020826,458,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,numerical_error,basis became singular at iteration 5230,1.0,315.49166667,314.49166667,0.9968303441718288,0,,,0,2.023637,1.9456685,5230,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.178,-1435.178,0.0,0.0,1,1,,1,347.429863,347.3971414,1495,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929066370535,-18.751929066,7.112999999629464,0.3793209741032125,0,1,,0,0.211032,0.0381747,592,simplex-primal,31fbe4d,Windows-AMD64,2026-08-30T04:58:02+00:00
