instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.96316238024,1.0555569121003461e-11,0.033027,139,optimal,225494.96316,0.0,0.115214,1,0.287,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.067623,16,optimal,-464.75314286,0.0,0.044214,1,1.529,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
blend,-30.812149846,optimal,-30.81214984582823,5.574753936834577e-12,0.069231,510,optimal,-30.812149846,0.0,0.057857,1,1.197,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
sc105,-52.202061212,optimal,-52.20206121170722,5.608574210909634e-12,0.150643,108,optimal,-52.202061212,0.0,0.141596,1,1.064,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
sc50a,-64.575077059,optimal,-64.5750770585645,6.743958545329677e-12,0.089024,48,optimal,-64.575077059,0.0,0.137572,1,0.647,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
sc50b,-70.0,optimal,-69.99999999999997,4.0602442043434295e-16,0.081874,48,optimal,-70.0,0.0,0.151935,1,0.539,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
share2b,-415.73224074,optimal,-415.73224074141933,3.4140323661430043e-12,0.086704,121,optimal,-415.73224074,0.0,0.059508,1,1.457,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
stocfor1,-41131.976219,optimal,-41131.9762194364,1.0609863708408942e-11,0.099682,79,optimal,-41131.976219,0.0,0.135883,1,0.734,30d7c6c,Windows-AMD64,2026-08-26T06:04:14+00:00
