instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.96316238042,1.055634351959886e-11,0.005945,158,optimal,225494.9631623803,1.0555827253868593e-11,0.02157,1,0.276,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000905,16,optimal,-464.75314285714285,6.147731649617561e-12,0.002092,1,0.433,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
blend,-30.812149846,optimal,-30.812149845828237,5.5745233321090675e-12,0.016812,337,optimal,-30.812149845828237,5.5745233321090675e-12,0.004641,1,3.622,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
sc105,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.009952,107,optimal,-52.20206121170723,5.608301983062969e-12,0.003145,1,3.165,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.002133,46,optimal,-64.5750770585645,6.743958545329677e-12,0.001302,1,1.639,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
sc50b,-70.0,optimal,-70.00000000000003,4.0602442043434295e-16,0.002031,50,optimal,-69.99999999999999,2.0301221021717148e-16,0.001847,1,1.1,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
share2b,-415.73224074,optimal,-415.7322407414174,3.409383517552798e-12,0.004624,114,optimal,-415.73224074141945,3.4143058278247812e-12,0.008523,1,0.543,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
stocfor1,-41131.976219,optimal,-41131.976219436416,1.0610217494357637e-11,0.002708,68,optimal,-41131.97621943641,1.061004060138329e-11,0.005462,1,0.496,5869f3c,Windows-AMD64,2026-08-26T19:37:15+00:00
