instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.96316238042,1.055634351959886e-11,0.002639,160,optimal,225494.9631623803,1.0555827253868593e-11,0.003754,1,0.703,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000161,16,optimal,-464.75314285714285,6.147731649617561e-12,0.001244,1,0.129,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
blend,-30.812149846,optimal,-30.812149845828223,5.574984541560087e-12,0.007372,423,optimal,-30.812149845828237,5.5745233321090675e-12,0.002979,1,2.475,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
sc105,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.003855,107,optimal,-52.20206121170723,5.608301983062969e-12,0.003382,1,1.14,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.000975,46,optimal,-64.5750770585645,6.743958545329677e-12,0.002391,1,0.408,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
sc50b,-70.0,optimal,-70.00000000000003,4.0602442043434295e-16,0.001842,50,optimal,-69.99999999999999,2.0301221021717148e-16,0.002855,1,0.645,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
share2b,-415.73224074,optimal,-415.73224074141723,3.4089733250301328e-12,0.003142,117,optimal,-415.73224074141945,3.4143058278247812e-12,0.005105,1,0.616,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
stocfor1,-41131.976219,optimal,-41131.97621943643,1.0610571280306333e-11,0.003948,79,optimal,-41131.97621943641,1.061004060138329e-11,0.003018,1,1.308,79809da,Windows-AMD64,2026-08-26T18:27:44+00:00
