instance,instance_sha256,rows,columns,nonzeros,status,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,passed,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,225494.96316238036,225494.96316,2.380344085395336e-06,1.0556085386733726e-11,1,1,1,0.06113,0.0056636,140,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,1,0.083812,0.0003143,16,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,-30.81214984582821,-30.812149846,1.7179146993839822e-10,5.575445751011107e-12,1,1,1,0.099125,0.0381982,468,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,-52.20206121170728,-52.202061212,2.9271518542373087e-10,5.607349185599643e-12,1,1,1,0.079579,0.0159544,107,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,-64.57507705856449,-64.575077059,4.355058536020806e-10,6.744178612503615e-12,1,1,1,0.058183,0.002521,47,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,-69.99999999999999,-70.0,1.4210854715202004e-14,2.0301221021717148e-16,1,1,1,0.080502,0.0047142,50,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,-415.732240741419,-415.73224074,1.4189822650223505e-09,3.413211981097674e-12,1,1,1,0.090496,0.0182823,123,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,-41131.976219436394,-41131.976219,4.363973857834935e-07,1.0609686815434594e-11,1,1,1,0.088911,0.0105498,79,simplex-primal,aa68b8a,Windows-AMD64,2026-08-25T18:20:28+00:00
