family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,12,72012,10,12,optimal,-44.952517985611735,-48.0,0.06348920863308886,,,0,10,0.0012291,[FAIL] row activity                worst violation 7.560e-05 (7.560e-05 relative to the row's terms) on R1; [FAIL] activity agreement          max |ours - solver's| = 1.829e-04; [FAIL] reduced costs  ,adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,12,73012,10,12,infeasible,0.0,66.0,1.0,,,,11,0.0013133,"phase 1 terminated with max bound violation 7.178e+00, far above the 1.0e-07 feasibility tolerance",adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,14,71014,10,12,numerical_error,0.0,98.0,1.0,,,,114,0.0029977,"phase 1 stalled at max bound violation 8.731e-06, only just above the 1.0e-07 feasibility tolerance; no column prices as improving, but this is a numerical stall rather than a proof that the model is ",adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,14,72014,10,12,numerical_error,0.0,156.0,1.0,,,,10,0.0011773,"phase 1 stalled at max bound violation 3.489e-06, only just above the 1.0e-07 feasibility tolerance; no column prices as improving, but this is a numerical stall rather than a proof that the model is ",adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,14,73014,10,12,optimal,4121.666666666665,40.0,102.04166666666663,,,0,11,0.0007792,[FAIL] row activity                worst violation 1.325e-05 (1.325e-05 relative to the row's terms) on R3; [FAIL] activity agreement          max |ours - solver's| = 3.975e-05; [FAIL] reduced costs  ,adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,16,71016,10,12,numerical_error,0.0,411.0,1.0,,,,5,0.0004773,"phase 1 stalled at max bound violation 1.060e-07, only just above the 1.0e-07 feasibility tolerance; no column prices as improving, but this is a numerical stall rather than a proof that the model is ",adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,16,72016,10,12,numerical_error,0.0,-120.0,1.0,,,,21,0.0007703,"phase 1 stalled at max bound violation 1.293e-07, only just above the 1.0e-07 feasibility tolerance; no column prices as improving, but this is a numerical stall rather than a proof that the model is ",adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,16,73016,10,12,unbounded,0.0,-54.0,1.0,,,,7,0.0004957,,adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,18,71018,10,12,optimal,123.64814814814815,-43.0,3.875538329026701,,,1,8,0.0004978,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported,adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
conditioning,entry spread 10^k,18,72018,10,12,optimal,60.6818312594404,335.0,0.8188602051957002,,,0,10,0.0006759,[FAIL] complementary slackness     worst |multiplier| * slack = 5.145e+01 on R1,adcee1b,Windows-AMD64,2026-09-06T17:29:00+00:00,
