instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,,9146.378092420931,9146.3780924,2.093111106660217e-08,2.2884589785321096e-12,1,1,,1,0.0,0,1.82738,1.7828209,2092,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329383251,-68464.293294,1.6749254427850246e-07,2.4464218678085877e-12,1,1,,1,0.0,0,12.610362,12.4544175,30210,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,time_limit,time limit 120s reached,61404.264854537716,68464.293232,7060.02837746228,0.1031198606482137,0,,,0,0.0,0,240.314614,240.1592712,7348,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.218961272205,-664.21873953,0.00022174220498527575,3.338391282699734e-07,1,1,,1,0.0,0,0.093838,0.0471197,1326,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ganges,f655f33ba979a59d659a8605acaf480c2fe5c610f3a50921bbcac7be40546067,1309,1681,6912,optimal,,-109585.73612927785,-109586.36356,0.6274307221465278,5.725445226613447e-06,0,1,,0,0.0,0,0.168856,0.1376903,1342,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
gfrd-pnc,d66ea78a803e91e4f38dcd74ca4c575aa742e27e7120c1c3494d4d424ee5c936,616,1092,2377,optimal,,6902235.999548811,6902235.9995,4.8811547458171844e-05,7.071845625346303e-12,1,1,,1,0.0,0,0.07384,0.0412271,874,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
greenbea,cb701e3ba5153e385b8cb6426e34b5d23bad4b1b9c9a037802e351c24b0f653d,2392,5405,30877,optimal,,-72555248.12984605,-72462405.908,92842.22184604406,0.0012812467469534307,0,1,,0,0.0,0,3.150597,3.0853966,6611,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
greenbeb,21f92f6a32f71ec72c8f693d6685e4a91ecb2debec732ec61302bc866f370865,2392,5405,30877,optimal,,-4302260.261206586,-4302147.6065,112.65470658615232,2.6185690703858075e-05,0,1,,0,0.0,0,3.215756,3.1035939,6837,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.2935756,-106870941.29,0.0035755932331085205,3.345711369198066e-11,1,1,,1,0.0,0,0.178687,0.1343969,828,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48255128,-160834336.48,0.0025512874126434326,1.5862827978655475e-11,1,1,,1,0.0,0,0.222349,0.1877064,589,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.81471152,-47787811.815,0.0002884790301322937,6.036665400145895e-12,1,1,,1,0.0,0,0.037841,0.0159025,186,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630463,-896644.82186,3.0462397262454033e-06,3.397376142680759e-12,1,1,,1,0.0,0,0.045163,0.0175937,251,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001299062047,-1749.9001299,6.20480022917036e-09,3.545802485039498e-12,1,1,,1,0.0,0,0.026911,0.0020083,70,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.264706061880013,-25.264706062,1.1998579907412932e-10,4.7491468446014066e-12,1,1,,1,0.0,0,0.030734,0.0063189,276,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,optimal,,-58063.743701128995,-58063.743701,1.2899545254185796e-07,2.221617903353282e-12,1,1,,1,0.0,0,0.309786,0.258814,1623,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,time_limit,time limit 120s reached,112871417994.2755,1497185.1665,112869920809.109,75388.08380860952,0,,,0,0.0,0,240.541238,240.2205872,6566,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,time_limit,time limit 120s reached,699998.4474779998,320.61972906,699677.8277489399,2182.2669172613637,0,,,0,0.0,0,240.091637,240.0122585,193107,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,optimal,,14076036.4875627,14076073.035,36.547437300905585,2.596422824038408e-06,0,1,,0,0.0,0,0.602554,0.5386769,5074,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,optimal,,-9380.755278225817,-9380.7580773,0.0027990741837129463,2.9838464659762173e-07,1,1,,1,0.0,0,4.724084,4.6871089,10393,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,optimal,,-557.4897293059926,-557.40430007,0.08542923599259211,0.00015326260666066575,0,1,,0,0.0,0,149.132884,148.9545117,27252,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.139258920376,-2581.1392641,5.179624167794827e-06,2.0067201486708137e-09,1,1,,1,0.0,0,0.207078,0.1735962,1875,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,time_limit,time limit 120s reached,308.5124353540492,301.71072827,6.801707084049212,0.02254380254573641,0,,,0,0.0,0,240.711173,240.584931,38081,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,optimal,,-4497.2761882188715,-4497.2761882,1.8871105567086488e-08,4.196118890051869e-12,1,1,,1,0.0,0,20.683685,20.5970319,16017,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.028355,0.0013962,45,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.0,0,0.047104,0.0047346,101,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.20206121170722,-52.202061212,2.927791342699493e-10,5.608574210909634e-12,1,1,,1,0.0,0,0.080064,0.0368054,262,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856445,-64.575077059,4.355484861662262e-10,6.744838814025429e-12,1,1,,1,0.0,0,0.035871,0.0019959,42,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-70.0,-70.0,0.0,0.0,1,1,,1,0.0,0,0.03885,0.0021356,47,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.06076853,-14753433.061,0.00023147091269493103,1.568929155254131e-11,1,1,,1,0.0,0,0.101385,0.0666116,546,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.824330984,-2331389.2548,0.5695309839211404,2.442882426212426e-07,1,1,,1,0.0,0,0.045381,0.005339,142,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,optimal,,18416.759028348937,18416.759028,3.4893673728220165e-07,1.89466961451629e-11,1,1,,1,0.0,0,0.04464,0.0143778,455,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scfxm2,64d44da9d2e6329705e73b1e083f52a7560124c13af4c67ff60d55b0a46b0f0e,660,914,5183,optimal,,36660.2615649988,36660.261565,1.2005330063402653e-09,3.2747529752663545e-14,1,1,,1,0.0,0,0.122451,0.0814085,968,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scfxm3,515b442feba7cb583e03d4466da264782d898cc69093848052a7fa98ba4eac7b,990,1371,7777,optimal,,54901.25454975144,54901.25455,2.485612640157342e-07,4.527424119049283e-12,1,1,,1,0.0,0,0.228824,0.1661843,1485,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.1248227381075,1878.1248227,3.810737325693481e-08,2.0290117459898906e-11,1,1,,1,0.0,0,0.035236,0.0078787,303,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538007918,904.29998619,0.003032389208215136,3.3533000713526593e-06,0,1,,0,0.0,0,0.06889,0.041002,678,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.666666674333365,8.6666666743,3.3365310514454904e-11,3.849843517507819e-12,1,1,,1,0.0,0,0.042971,0.0088105,534,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.500000078262374,50.500000078,2.623750106067746e-10,5.195544756465785e-12,1,1,,1,0.0,0,0.12225,0.0787842,489,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
scsd8,2090a22840fe2c75730cd76336702ece7c27a739d58740926b67c4b2e57b8e5c,397,2750,8584,optimal,,904.9999999254649,904.99999993,4.535081643552985e-09,5.01113993801521e-12,1,1,,1,0.0,0,0.237306,0.163565,926,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sctap1,2b1ab5950d3e37fd21327892e2bc830c5f0d8d3fc1f687c0f57a5cdefd9caa21,300,480,1692,optimal,,1412.25,1412.25,0.0,0.0,1,1,,1,0.0,0,0.047022,0.0096626,303,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sctap2,673d50e3b929f83b1719d28ee09500890294107099518161bcf2a4f452e95fb2,1090,1880,6714,optimal,,1724.8071428571432,1724.8071429,4.285675458959304e-08,2.4847273369668418e-11,1,1,,1,0.0,0,0.090873,0.0519951,720,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sctap3,44e105b02a722bf19292b8aeb4779480c4eb81f40da35d64d8f4534f85000168,1480,2480,8874,optimal,,1424.0,1424.0,0.0,0.0,1,1,,1,0.0,0,0.168785,0.1218731,967,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
seba,539733cdb036e2d2e8e80e7ea1666848b6b67a36a34b1c6cf9a883e1c868ef1e,515,1028,4352,optimal,,15711.600000000002,15711.6,1.8189894035458565e-12,1.1577365790536013e-16,1,1,,1,0.0,0,0.12992,0.0937626,709,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
share1b,fafdf8b5e3d50d27f5eff40e46eb104d1e614bf2721cb5be38081f1678dbd562,117,225,1151,optimal,,-76589.31857918546,-76589.318579,1.8546415958553553e-07,2.4215407974185566e-12,1,1,,1,0.0,0,0.051332,0.010202,229,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407414179,-415.73224074,1.4179022400639951e-09,3.4106140951207937e-12,1,1,,1,0.0,0,0.03146,0.0025419,114,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
shell,e21331e8282f8d8616cbee27e093e50d140ea03f9bc3fd0b6da0ccff638d2f91,536,1775,3556,optimal,,1208825346.0,1208825346.0,0.0,0.0,1,1,,1,0.0,0,0.067407,0.0317235,667,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ship04l,e7c46bfd6492a400220cf1f5f093f264901fd0e8534dd8cbb060d491612dc881,402,2118,6332,optimal,,1793324.537970356,1793324.538,2.964399755001068e-05,1.6530191229676178e-11,1,1,,1,0.0,0,0.104069,0.0434574,564,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ship04s,2ed2828b251173a05004349121cd9a271a3434bf2efe4e1b70d7e0bdf2d76f94,402,1458,4352,optimal,,1798714.7004453917,1798714.7004,4.539173096418381e-05,2.523564796245316e-11,1,1,,1,0.0,0,0.053091,0.021666,402,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ship08l,58b6142628facaa1b056f32f9f47167097db66825f0c6b42c6f65e4da1b5da07,778,4283,12802,optimal,,1909055.2113891307,1909055.2114,1.0869232937693596e-05,5.693514191097007e-12,1,1,,1,0.0,0,0.157408,0.101885,860,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ship08s,bdf5671548dde27b0d83c244914036e58081c4683786b2fd132277f577c9a7d8,778,2387,7114,optimal,,1920098.210534618,1920098.2105,3.46179585903883e-05,1.802926454547013e-11,1,1,,1,0.0,0,0.089914,0.0299429,391,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ship12l,87bf21f83ae0c5a87aa73ee2d8e2bd4a6a72b3c6cbdc603853dbb7b43b824911,1151,5427,16170,optimal,,1470187.9193292665,1470187.9193,2.926657907664776e-05,1.990669266999721e-11,1,1,,1,0.0,0,0.232575,0.1645707,1337,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
ship12s,43bacbc026b0b5588ed9bec06b11fadfbff8beb19b4e84881370a57cc6540e5d,1151,2763,8178,optimal,,1489236.1344061326,1489236.1344,6.132526323199272e-06,4.1179005676423585e-12,1,1,,1,0.0,0,0.072419,0.0365715,730,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
sierra,dbabb4bb56b9de7efbca7df842922c7c1ef620bcbee2aeb28f4bf3c5a3868cc9,1227,2036,7302,optimal,,15394362.183631927,15394362.184,0.00036807358264923096,2.3909635115106303e-11,1,1,,1,0.0,0,0.130669,0.0770581,743,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
stair,30a16ec0d02cf6c490495340d2a718f533d8e5d88f839693eb4bc06671bd8649,356,467,3856,optimal,,-251.26695119296397,-251.26695119,2.9639863896591123e-09,1.1796164898016537e-11,1,1,,1,0.0,0,0.169079,0.1177229,884,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
standata,a513e8587cb8d72ac1f6fb07b33642a212f55646fb2c04521cdfd04b959c6fb1,359,1075,3031,optimal,,1257.6995,1257.6995,0.0,0.0,1,1,,1,0.0,0,0.036113,0.0059684,47,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
standmps,93bd6bc6251b7fee0f943e1c69a7b7e836b4b34e4c011c1a871be66a1cb7e00d,467,1075,3679,optimal,,1406.0175,1406.0175,0.0,0.0,1,1,,1,0.0,0,0.036623,0.0093017,187,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.976219436416,-41131.976219,4.3641921365633607e-07,1.0610217494357637e-11,1,1,,1,0.0,0,0.0437,0.0035495,64,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
stocfor2,d54988bc39e9c48d13c8a3248913e9b6b77c2f8e9b9f4c3e4c76b060f6096b50,2157,2031,8343,optimal,,-39024.4085378821,-39024.408538,1.1790689313784242e-07,3.021362720283912e-12,1,1,,1,0.0,0,2.281433,2.2235457,2377,simplex-primal,b809424,Windows-AMD64,2026-09-05T05:57:07+00:00
