instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.9631623803,225494.96316,2.3802858777344227e-06,1.0555827253868593e-11,1,1,,1,0.0,0,0.03095,0.0029649,73,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.022612,0.0005062,13,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.028636,0.002864,97,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.821863046,-896644.82186,3.0460068956017494e-06,3.3971164739267804e-12,1,1,,1,0.0,0,0.044542,0.014281,176,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.20206121170722,-52.202061212,2.927791342699493e-10,5.608574210909634e-12,1,1,,1,0.0,0,0.027058,0.0020173,88,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856447,-64.575077059,4.355200644567958e-10,6.744398679677553e-12,1,1,,1,0.0,0,0.023488,0.0010412,42,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-69.99999999999999,-70.0,1.4210854715202004e-14,2.0301221021717148e-16,1,1,,1,0.0,0,0.02345,0.0010585,42,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407414191,-415.73224074,1.419095951860072e-09,3.4134854427794508e-12,1,1,,1,0.0,0,0.029949,0.0042096,133,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.97621943643,-41131.976219,4.3643376557156444e-07,1.0610571280306333e-11,1,1,,1,0.0,0,0.025221,0.0036819,101,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:37:58+00:00,
