instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
israel,-896644.82186,optimal,-896644.821863046,3.3971164739267804e-12,0.010074,0.009461,0.013192,176,optimal,-896644.8218630459,3.396986639549791e-12,0.0041,0.003961,0.004486,15,1,2.457,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
kb2,-1749.9001299,optimal,-1749.9001299062058,3.5464521611883195e-12,0.001485,0.001346,0.002116,51,optimal,-1749.9001299062056,3.546322225958555e-12,0.000852,0.000801,0.00094,15,1,1.744,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
lotfi,-25.264706062,optimal,-25.264706061880016,4.74900622496902e-12,0.008065,0.007525,0.012568,243,optimal,-25.264706061880002,4.749568703498567e-12,0.003032,0.002944,0.004061,15,1,2.66,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
pilot4,-2581.1392641,optimal,-2581.139258883888,2.0208565489991203e-09,0.123114,0.115002,0.143517,1060,optimal,-2581.1392588838853,2.0208576060843163e-09,0.03464,0.031943,0.04731,15,1,3.554,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
recipe,-266.616,optimal,-266.61600000000027,1.0660166468030429e-15,0.001412,0.001276,0.002282,41,optimal,-266.61600000000027,1.0660166468030429e-15,0.001351,0.001295,0.002381,15,1,1.045,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
sc105,-52.202061212,optimal,-52.20206121170722,5.608574210909634e-12,0.002239,0.002168,0.003513,88,optimal,-52.20206121170723,5.608301983062969e-12,0.001309,0.001232,0.00155,15,1,1.711,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
sc205,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.006703,0.00591,0.009538,209,optimal,-52.20206121170721,5.608710324832966e-12,0.002688,0.002601,0.004154,15,1,2.493,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.001109,0.001029,0.001664,42,optimal,-64.5750770585645,6.743958545329677e-12,0.000762,0.000679,0.001069,15,1,1.456,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
sc50b,-70.0,optimal,-69.99999999999999,2.0301221021717148e-16,0.001069,0.001016,0.001618,42,optimal,-69.99999999999999,2.0301221021717148e-16,0.000756,0.000695,0.00125,15,1,1.415,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scagr25,-14753433.061,optimal,-14753433.060768533,1.5689039049257294e-11,0.019818,0.016132,0.025533,465,optimal,-14753433.060768528,1.5689417804183323e-11,0.008114,0.007927,0.010001,15,1,2.442,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
