instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238394,225494.96316,2.3839238565415144e-06,1.0571960557939383e-11,1,1,,1,0.0,0,0.080137,0.0064446,48,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.7531428262937,-464.75314286,3.370632839505561e-08,7.252522960389993e-11,1,1,,1,0.0,0,0.082772,0.0013786,13,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149833562586,-30.812149846,1.2437414653732048e-08,4.0365293288182097e-10,1,1,,1,0.0,0,0.078199,0.0052034,14,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630428,-896644.82186,3.0427472665905952e-06,3.3934811113710782e-12,1,1,,1,0.0,0,0.144965,0.0755407,24,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.20206120321448,-52.202061212,8.785519867160474e-09,1.6829833273213539e-10,1,1,,1,0.0,0,0.091096,0.0030828,16,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507700877433,-64.575077059,5.02256654044686e-08,7.77787153990992e-10,1,1,,1,0.0,0,0.055932,0.0012103,14,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-69.99999999936568,-70.0,6.343157110677566e-10,9.061653015253666e-12,1,1,,1,0.0,0,0.057033,0.0011562,13,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.7322407371176,-415.73224074,2.882416083593853e-09,6.933347479770094e-12,1,1,,1,0.0,0,0.106669,0.0186922,79,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.9762184111,-41131.976219,5.888941814191639e-07,1.4317186664790918e-11,1,1,,1,0.0,0,0.110629,0.0218452,137,ipm,54fcb6f,Windows-AMD64,2026-09-16T11:39:29+00:00,algorithm=ipm
