family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,18,71018,10,12,optimal,123.64814814814817,-43.0,3.875538329026701,,,0,8,0.0003007,[FAIL] strong duality              primal 1.236481481481e+02  dual 4.817777777778e+01  gap 7.547e+01 (relative 6.104e-01),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,18,72018,10,12,optimal,60.68183125944026,335.0,0.8188602051957007,,,0,10,0.0008106,[FAIL] complementary slackness     worst |multiplier| * slack = 5.145e+01 on R1; [FAIL] strong duality              primal 6.068183125944e+01  dual 1.145958426239e+02  gap 5.391e+01 (relative 8.885e-0,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,18,73018,10,12,optimal,-822.5999999999999,-372.0,1.2112903225806448,,,0,15,0.0002606,[FAIL] row activity                worst violation 1.322e-07 (1.322e-07 relative to the row's terms) on R3; [FAIL] complementary slackness     worst |multiplier| * slack = 7.677e+02 on R5; [FAIL] stro,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,20,71020,10,12,optimal,-484.2948504983398,-253.0,0.9142088952503551,,,0,8,0.0002694,[FAIL] complementary slackness     worst |multiplier| * slack = 1.990e+03 on R9; [FAIL] strong duality              primal -4.842948504983e+02  dual -6.136627906977e+01  gap 4.229e+02 (relative 8.733e,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,20,72020,10,12,optimal,-63.74603174603183,-215.0,0.703506829088224,,,0,8,0.0004329,[FAIL] complementary slackness     worst |multiplier| * slack = 3.480e+02 on R1; [FAIL] strong duality              primal -6.374603174603e+01  dual 4.257142857143e+02  gap 4.895e+02 (relative 7.678e+,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,20,73020,10,12,feasible,-296.6963636363637,-488.0,0.39201564828614,,,1,5,0.0004183,"engine reported optimal but the reduced costs violate dual feasibility by 1.406e+11 (1.752e+00 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point ra",d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,22,71022,10,12,optimal,-384.6666666666667,-403.0,0.045492142266335765,,,0,3,0.0003952,[FAIL] strong duality              primal -3.846666666667e+02  dual -2.583333333333e+02  gap 1.263e+02 (relative 3.284e-01),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,22,72022,10,12,feasible,273.3884615384615,153.0,0.7868526897938661,,,1,4,0.0004099,"engine reported optimal but the reduced costs violate dual feasibility by 1.560e+12 (3.546e-01 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point ra",d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,22,73022,10,12,optimal,-150.15505952381014,-291.0,0.4840032318769411,,,0,6,0.0004022,[FAIL] strong duality              primal -1.501550595238e+02  dual -9.234107142857e+01  gap 5.781e+01 (relative 3.850e-01),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,24,71024,10,12,optimal,50.84528301886792,68.0,0.2522752497225306,,,0,5,0.0007022,[FAIL] strong duality              primal 5.084528301887e+01  dual 0.000000000000e+00  gap 5.085e+01 (relative 1.000e+00),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,24,72024,10,12,optimal,-0.8574423480083659,-223.0,0.9961549670492899,,,0,6,0.000906,[FAIL] strong duality              primal -8.574423480084e-01  dual 2.518867924528e+01  gap 2.605e+01 (relative 2.605e+01),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,24,73024,10,12,optimal,170.17185473411183,83.0,1.0502633100495402,,,0,12,0.0002931,[FAIL] complementary slackness     worst |multiplier| * slack = 1.510e+02 on R1; [FAIL] strong duality              primal 1.701718547341e+02  dual 2.880212386511e+02  gap 1.178e+02 (relative 6.925e-0,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,26,71026,10,12,optimal,190.13964507489902,284.0,0.33049420748274994,,,0,9,0.0002723,[FAIL] complementary slackness     worst |multiplier| * slack = 4.299e+01 on R1; [FAIL] strong duality              primal 1.901396450749e+02  dual 1.756190588305e+01  gap 1.726e+02 (relative 9.076e-0,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
