instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,auto,optimal,-362.0000000000034,3.410605131648481e-12,9.4215611371505e-15,1,4271,0.434229,0.4151864,120.0,,random,64d2e9a,Windows-AMD64,2026-09-18T12:32:06+00:00,,simplex-dual+primal,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,auto,time_limit,9943.979648692222,1.0203513077776734,0.00010259942762973086,0,84075,120.044141,120.0120496,120.0,,random,64d2e9a,Windows-AMD64,2026-09-18T12:32:06+00:00,,simplex-dual,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,auto,time_limit,-26592.000023469467,2.3469467123504728e-05,8.82576230577043e-10,1,136164,120.125978,120.012618,120.0,,random,64d2e9a,Windows-AMD64,2026-09-18T12:32:06+00:00,,pdhg-cpu,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,auto,time_limit,-83109.99069211559,0.009307884407462552,1.1199475884325054e-07,1,16460,91.293837,90.2971965,120.0,,random,64d2e9a,Windows-AMD64,2026-09-18T12:32:06+00:00,,pdhg-cpu,0
