case,instance,sha256,arm,rep,status,objective,iterations,nodes,solve_seconds,commit,machine
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,1,numerical_error,25.291700000000013,76,0,0.3962472,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,1,numerical_error,25.291700000000013,76,0,0.4176847,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,2,numerical_error,25.291700000000013,76,0,0.4161752,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,2,numerical_error,25.291700000000013,76,0,0.4048166,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,2,numerical_error,25.291700000000013,76,0,0.4146142,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,2,numerical_error,25.291700000000013,76,0,0.4481162,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,3,numerical_error,25.291700000000013,76,0,0.4159123,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,3,numerical_error,25.291700000000013,76,0,0.4135789,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,3,numerical_error,25.291700000000013,76,0,0.4176596,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,3,numerical_error,25.291700000000013,76,0,0.409804,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,4,numerical_error,25.291700000000013,76,0,0.4233885,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,4,numerical_error,25.291700000000013,76,0,0.4526646,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,4,numerical_error,25.291700000000013,76,0,0.4084599,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,4,numerical_error,25.291700000000013,76,0,0.4351716,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,5,numerical_error,25.291700000000013,76,0,0.4243609,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,5,numerical_error,25.291700000000013,76,0,0.4332925,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,5,numerical_error,25.291700000000013,76,0,0.4265504,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
interior point,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,5,numerical_error,25.291700000000013,76,0,0.4526492,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,1,iteration_limit,5501.994082211863,20000,0,1.0726917,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,1,iteration_limit,5501.994082211863,20000,0,2.0339426,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,1,iteration_limit,5501.994082211863,20000,0,0.9222235,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,1,iteration_limit,5501.994082211863,20000,0,0.8763768,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,2,iteration_limit,5501.994082211863,20000,0,0.9959217,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,2,iteration_limit,5501.994082211863,20000,0,0.9447496,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,2,iteration_limit,5501.994082211863,20000,0,0.8841925,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,2,iteration_limit,5501.994082211863,20000,0,0.9164528,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,3,iteration_limit,5501.994082211863,20000,0,1.0829017,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,3,iteration_limit,5501.994082211863,20000,0,0.9240864,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,3,iteration_limit,5501.994082211863,20000,0,0.9497167,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,3,iteration_limit,5501.994082211863,20000,0,0.9159642,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,4,iteration_limit,5501.994082211863,20000,0,0.9970223,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,4,iteration_limit,5501.994082211863,20000,0,0.9240178,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,4,iteration_limit,5501.994082211863,20000,0,0.9690839,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
