instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,"crossover: 74 pivots from the interior point's basis guess in 0.00s, after 48 interior point iterations",225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.018675,0.0044928,122,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,"crossover: 8 pivots from the interior point's basis guess in 0.00s, after 13 interior point iterations",-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.014387,0.0008311,21,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,"crossover: 29 pivots from the interior point's basis guess in 0.00s, after 14 interior point iterations",-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.022184,0.0029879,43,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,"crossover: 134 pivots from the interior point's basis guess in 0.00s, after 24 interior point iterations",-896644.821863046,-896644.82186,3.0460068956017494e-06,3.3971164739267804e-12,1,1,,1,0.0,0,0.055177,0.0391065,158,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,"crossover: 44 pivots from the interior point's basis guess in 0.00s, after 16 interior point iterations",-52.20206121170722,-52.202061212,2.927791342699493e-10,5.608574210909634e-12,1,1,,1,0.0,0,0.015665,0.0020539,60,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,"crossover: 11 pivots from the interior point's basis guess in 0.00s, after 14 interior point iterations",-64.57507705856447,-64.575077059,4.355200644567958e-10,6.744398679677553e-12,1,1,,1,0.0,0,0.013364,0.0010284,25,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,"crossover: 0 pivots from the interior point's basis guess in 0.00s, after 13 interior point iterations",-69.99999999999999,-70.0,1.4210854715202004e-14,2.0301221021717148e-16,1,1,,1,0.0,0,0.016265,0.0008703,13,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,"crossover: 67 pivots from the interior point's basis guess in 0.00s, after 79 interior point iterations",-415.7322407414192,-415.73224074,1.4192096386977937e-09,3.4137589044612273e-12,1,1,,1,0.0,0,0.02312,0.0074622,146,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,"crossover: 41 pivots from the interior point's basis guess in 0.00s, after 137 interior point iterations",-41131.97621943643,-41131.976219,4.3643376557156444e-07,1.0610571280306333e-11,1,1,,1,0.0,0,0.023638,0.0089936,178,ipm+crossover,77aa9e6,Windows-AMD64,2026-09-18T01:13:35+00:00,algorithm=ipm
