instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
kb2,-1749.9001299,optimal,-1749.9001299062058,3.5464521611883195e-12,0.002365,0.001126,0.003536,51,optimal,-1749.9001299062056,3.546322225958555e-12,0.002756,0.002532,0.003263,15,1,0.858,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
lotfi,-25.264706062,optimal,-25.264706061880016,4.74900622496902e-12,0.014201,0.006583,0.017869,243,optimal,-25.264706061880002,4.749568703498567e-12,0.009527,0.008961,0.012973,15,1,1.491,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
pilot4,-2581.1392641,optimal,-2581.139258883888,2.0208565489991203e-09,0.156852,0.102845,0.253105,1060,optimal,-2581.1392588838853,2.0208576060843163e-09,0.110119,0.104711,0.126821,15,1,1.424,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
recipe,-266.616,optimal,-266.61600000000027,1.0660166468030429e-15,0.002798,0.001143,0.007925,41,optimal,-266.61600000000027,1.0660166468030429e-15,0.004722,0.0029,0.006963,15,1,0.592,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
sc105,-52.202061212,optimal,-52.20206121170722,5.608574210909634e-12,0.00414,0.002143,0.005504,88,optimal,-52.20206121170723,5.608301983062969e-12,0.004645,0.00377,0.006234,15,1,0.891,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
sc205,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.012253,0.006171,0.016907,209,optimal,-52.20206121170721,5.608710324832966e-12,0.007798,0.007427,0.008982,15,1,1.571,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.002231,0.000968,0.003524,42,optimal,-64.5750770585645,6.743958545329677e-12,0.002271,0.001864,0.002624,15,1,0.983,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
sc50b,-70.0,optimal,-69.99999999999999,2.0301221021717148e-16,0.001836,0.000942,0.002911,42,optimal,-69.99999999999999,2.0301221021717148e-16,0.003177,0.001963,0.004173,15,1,0.578,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scagr25,-14753433.061,optimal,-14753433.060768533,1.5689039049257294e-11,0.027369,0.014666,0.043149,465,optimal,-14753433.060768528,1.5689417804183323e-11,0.03021,0.025001,0.037153,15,1,0.906,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scagr7,-2331389.2548,optimal,-2331389.824330984,2.442882426212426e-07,0.00798,0.004913,0.01989,111,optimal,-2331389.824330984,2.442882426212426e-07,0.009801,0.00721,0.013601,15,1,0.814,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scfxm1,18416.759028,optimal,18416.759028348937,1.89466961451629e-11,0.075484,0.067579,0.091762,460,optimal,18416.759028348948,1.8947288754123286e-11,0.035284,0.032514,0.0415,15,1,2.139,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scorpion,1878.1248227,optimal,1878.1248227381068,2.0289754267304842e-11,0.031512,0.017947,0.047707,242,optimal,1878.1248227381068,2.0289754267304842e-11,0.01166,0.010105,0.015839,15,1,2.703,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scrs8,904.29998619,optimal,904.2969538007919,3.3533000712269414e-06,0.142998,0.115702,0.159524,610,optimal,904.296953800792,3.3533000711012235e-06,0.04381,0.024804,0.049201,15,1,3.264,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scsd1,8.6666666743,optimal,8.666666674333364,3.8496385532573e-12,0.030949,0.022441,0.037393,155,optimal,8.666666674333364,3.8496385532573e-12,0.008628,0.004978,0.01357,15,1,3.587,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scsd6,50.500000078,optimal,50.50000007714434,1.6943700541837166e-11,0.083456,0.031238,0.108379,367,optimal,50.5000000782623,5.194137741149621e-12,0.012502,0.007486,0.027685,15,1,6.675,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
scsd8,904.99999993,optimal,904.9999999254641,5.012019283721412e-12,0.302416,0.207587,0.538029,1785,optimal,904.9999999254643,5.011768042091069e-12,0.063352,0.053065,0.126984,15,1,4.774,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
sctap1,1412.25,optimal,1412.25,0.0,0.013638,0.009761,0.135366,269,optimal,1412.25,0.0,0.006741,0.005902,0.008273,15,1,2.023,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
share1b,-76589.318579,optimal,-76589.31857918552,2.4223007945303396e-12,0.009808,0.004187,0.014293,136,optimal,-76589.31857918572,2.42496078442158e-12,0.006693,0.003002,0.007995,15,1,1.465,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
share2b,-415.73224074,optimal,-415.7322407414191,3.4134854427794508e-12,0.004033,0.003114,0.007779,133,optimal,-415.73224074141945,3.4143058278247812e-12,0.001852,0.001804,0.001919,15,1,2.178,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
ship04l,1793324.538,optimal,1793324.5379703562,1.6530061397825488e-11,0.029031,0.025606,0.064597,449,optimal,1793324.5379703562,1.6530061397825488e-11,0.00938,0.008151,0.025129,15,1,3.095,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
ship04s,1798714.7004,optimal,1798714.7004453922,2.5235906848026957e-11,0.015926,0.014036,0.022026,300,optimal,1798714.7004453917,2.523564796245316e-11,0.010078,0.006252,0.018987,15,1,1.58,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
stair,-251.26695119,optimal,-251.2669511929633,1.17934501716146e-11,0.048456,0.030363,0.069951,448,optimal,-251.26695119296335,1.1793676398814761e-11,0.02016,0.013863,0.032608,15,1,2.404,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
standata,1257.6995,optimal,1257.6995000000002,1.8078537476021266e-16,0.007131,0.004457,0.011889,58,optimal,1257.6995,0.0,0.00701,0.00477,0.01597,15,1,1.017,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
standmps,1406.0175,optimal,1406.0175000000002,1.617146838095771e-16,0.020105,0.01208,0.046247,200,optimal,1406.0175,0.0,0.008297,0.005561,0.012665,15,1,2.423,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
stocfor1,-41131.976219,optimal,-41131.97621943643,1.0610571280306333e-11,0.005828,0.003099,0.006727,101,optimal,-41131.97621943641,1.061004060138329e-11,0.00293,0.001874,0.005339,15,1,1.989,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
tuff,0.29214776509,optimal,0.2921477650936128,3.612776744432722e-12,0.017237,0.011746,0.030236,239,optimal,0.292147765093613,3.612998789037647e-12,0.013131,0.01044,0.024146,15,1,1.313,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
wood1p,1.4429024116,optimal,1.4429024115734101,1.8428024810276435e-11,0.174948,0.138576,0.317241,406,optimal,1.442902411573409,1.8428794247638033e-11,0.095687,0.077511,0.178469,15,1,1.828,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
