instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc,solver_options
stocfor1,pdhg,1e-08,1,feasible,-41131.97630949186,-41131.976219,2.2000368495123096e-09,304520,5.426419,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
adlittle,pdhg,1e-08,1,feasible,225494.9631556683,225494.96316,1.9209860623872543e-11,132520,1.143349,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
adlittle,pdhg,1e-08,0,feasible,225494.96316021302,225494.96316,9.446372199528554e-13,135040,1.494455,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.026348,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
afiro,pdhg,1e-08,0,optimal,-464.753142815767,-464.75314286,9.517535949267474e-11,2800,0.037246,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
blend,pdhg,1e-08,1,feasible,-30.812149854032572,-30.812149846,2.6069495251312337e-10,44120,0.323808,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
blend,pdhg,1e-08,0,feasible,-30.81214948427817,-30.812149846,1.1739584318607371e-08,68000,1.021728,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
israel,pdhg,1e-08,1,feasible,-896644.8218629826,-896644.82186,3.3263567384675756e-12,363520,6.364322,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
israel,pdhg,1e-08,0,feasible,-896644.8218630473,-896644.82186,3.3985446520736635e-12,804600,13.903001,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
sc105,pdhg,1e-08,1,feasible,-52.20206122701183,-52.202061212,2.8757169701411693e-10,39520,0.320428,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
sc105,pdhg,1e-08,0,feasible,-52.202061220108426,-52.202061212,1.5532776474994875e-10,271640,2.167687,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
sc50a,pdhg,1e-08,1,feasible,-64.57507704025842,-64.575077059,2.9022921040007276e-10,7480,0.070672,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
sc50a,pdhg,1e-08,0,feasible,-64.57507708108477,-64.575077059,3.420015535392023e-10,27200,0.276461,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
sc50b,pdhg,1e-08,1,feasible,-70.00000001566106,-70.0,2.237294032576236e-10,8320,0.097839,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
sc50b,pdhg,1e-08,0,feasible,-70.0000000406151,-70.0,5.802157992158235e-10,32920,0.241071,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
share2b,pdhg,1e-08,1,iteration_limit,-415.73227347748934,-415.73224074,7.874657321801597e-08,1000000,16.942876,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
share2b,pdhg,1e-08,0,iteration_limit,-415.71849039642706,-415.73224074,3.3074999303580235e-05,1000000,8.072265,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
stocfor1,pdhg,1e-08,1,feasible,-41131.97630949186,-41131.976219,2.2000368495123096e-09,304520,3.529542,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
stocfor1,pdhg,1e-08,0,feasible,-41131.97611005892,-41131.976219,2.6485739278806342e-09,377560,4.062097,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
