instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
adlittle,simplex,,,optimal,225494.96316238036,225494.96316,1.0556085386733726e-11,86,3.46296,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
adlittle,pdhg,0.0001,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.600089,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
adlittle,pdhg,1e-08,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.530779,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
afiro,simplex,,,optimal,-464.75314285714285,-464.75314286,6.147731649617561e-12,15,0.020968,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
afiro,pdhg,0.0001,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.030752,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.036908,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
blend,simplex,,,optimal,-30.812149845828223,-30.812149846,5.574984541560087e-12,212,0.044722,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
blend,pdhg,0.0001,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.450737,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
blend,pdhg,1e-08,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.371505,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
israel,simplex,,,optimal,-896644.821863046,-896644.82186,3.3971164739267804e-12,195,0.052476,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
israel,pdhg,0.0001,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,6.587684,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
israel,pdhg,1e-08,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,5.37168,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc105,simplex,,,optimal,-52.20206121170722,-52.202061212,5.608574210909634e-12,89,0.02788,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc105,pdhg,0.0001,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.580963,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc105,pdhg,1e-08,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.57047,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc50a,simplex,,,optimal,-64.57507705856447,-64.575077059,6.744398679677553e-12,40,0.018778,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc50a,pdhg,0.0001,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.058658,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc50a,pdhg,1e-08,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.094119,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc50b,simplex,,,optimal,-69.99999999999999,-70.0,2.0301221021717148e-16,45,0.024886,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc50b,pdhg,0.0001,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.066138,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
sc50b,pdhg,1e-08,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.127679,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
share2b,simplex,,,optimal,-415.73224074141916,-415.73224074,3.413622173620339e-12,111,0.106698,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
share2b,pdhg,0.0001,1,iteration_limit,-415.73227347748934,-415.73224074,7.874657321801597e-08,1000000,9.000821,0,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
share2b,pdhg,1e-08,1,iteration_limit,-415.73227347748934,-415.73224074,7.874657321801597e-08,1000000,7.942685,0,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
stocfor1,simplex,,,optimal,-41131.97621943643,-41131.976219,1.0610571280306333e-11,64,0.038632,1,367e0a2,Windows-AMD64,2026-09-08T08:00:45+00:00
