instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
adlittle,simplex,,,optimal,225494.96316238036,225494.96316,1.0556085386733726e-11,86,0.046502,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
adlittle,pdhg,0.0001,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.098102,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
adlittle,pdhg,1e-08,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.303419,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
afiro,simplex,,,optimal,-464.75314285714285,-464.75314286,6.147731649617561e-12,15,0.021653,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
afiro,pdhg,0.0001,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.025225,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.03097,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
blend,simplex,,,optimal,-30.812149845828223,-30.812149846,5.574984541560087e-12,212,0.032137,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
blend,pdhg,0.0001,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.648601,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
blend,pdhg,1e-08,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.227971,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
israel,simplex,,,optimal,-896644.821863046,-896644.82186,3.3971164739267804e-12,195,0.024752,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
israel,pdhg,0.0001,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,7.426705,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
israel,pdhg,1e-08,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,5.88458,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
