instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.057692,0.0023874,160,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.036057,0.000307,16,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.026492,0.0047749,423,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.048998,0.0048309,107,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856447,-64.575077059,4.355200644567958e-10,6.744398679677553e-12,1,1,,1,0.027357,0.0004907,46,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-70.00000000000003,-70.0,2.842170943040401e-14,4.0602442043434295e-16,1,1,,1,0.021794,0.0011882,50,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,,-415.73224074141723,-415.73224074,1.4172201190376654e-09,3.4089733250301328e-12,1,1,,1,0.032055,0.0018372,117,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,,-41131.97621943643,-41131.976219,4.3643376557156444e-07,1.0610571280306333e-11,1,1,,1,0.046426,0.0016144,79,simplex-primal,e71ad03,Windows-AMD64,2026-08-26T18:48:07+00:00
