instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,highs_objective,relative_difference,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
Linf_520c,f92054c0b86f40f524b74d9f3315d2466e432fc3df57e8db724eb92f32b29207,93326,69004,566193,time_limit,time limit 150s reached,0.10495709543625002,Time limit reached,,,,0,310.66289320000215,308.8905465,588,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
bdry2,c7c372628defdb8889499ef5a949bbdbdbfd9a96dd00ceecf2ce5427639bc7a9,376500,250998,1500003,time_limit,time limit 150s reached,-0.004300000000000001,Time limit reached,,,,0,664.984635300003,648.6920714,1,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,14646,23968,133184,time_limit,time limit 149.532s reached,0.0,2.0000000000012172,1.0,,,0,302.1711619000125,300.5460667,10922,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,73728,270324,time_limit,time limit 150s reached,2.0,Time limit reached,,,,0,305.2476055000152,303.504869,1302,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
irish-electricity,60d7ec4482bae32a3747f09c2d8294b8e50dda31d1a82c37a6f6bf17c8c84458,104259,61728,523257,time_limit,time limit 150s reached,0.0,2546254.563314395,1.0,,,0,305.66531430001487,304.0233603,3121,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
qap15,a24d84de54c73d7ea01ebaf07739e6884d57794d4b1184c0e01a6a4495695712,6330,22275,94950,numerical_error,basis became singular at iteration 13954,0.0,Time limit reached,,,,0,297.6514129000134,297.4727395,13954,simplex-dual+primal,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
rmine15,49bef3a70183d8c465bcff0719c2522f42fec0ef63a6e4b0a33714f2bec5e4bc,358395,42438,879732,time_limit,time limit 150s reached,-8443.96137114521,Time limit reached,,,,0,311.9514319000009,309.1503224,28,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
supportcase10,e65868b17479a5a4c408af4a8e6a412c61d681918d7c9d5ad3bbe46966634f0b,165684,14770,555082,time_limit,time limit 150s reached,0.0,Time limit reached,,,,0,309.54317459999584,306.1753741,1266,simplex-dual,300.0,592aea3,Windows-AMD64,2026-09-07T07:22:48+00:00,
