instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.37809242094,-9146.3780924,2.09402060136199e-08,2.2894533554237983e-12,1,1,,1,0.0,0,0.092408,0.0561618,1622,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329383251,-68464.293294,1.6749254427850246e-07,2.4464218678085877e-12,1,1,,1,0.0,0,10.101653,9.963724,30210,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722021,-664.21873953,0.0002217422021431048,3.338391239910051e-07,1,1,,1,0.0,0,0.067056,0.0258754,1179,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357481,-106870941.29,0.0035748034715652466,3.344972382965007e-11,1,1,,1,0.0,0,0.044429,0.0143959,396,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48254484,-160834336.48,0.0025448501110076904,1.582280355491221e-11,1,1,,1,0.0,0,0.073977,0.0373611,588,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.8147118,-47787811.815,0.0002881959080696106,6.030740833777819e-12,1,1,,1,0.0,0,0.031865,0.0069445,180,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630463,-896644.82186,3.0462397262454033e-06,3.397376142680759e-12,1,1,,1,0.0,0,0.033482,0.0078157,251,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001299062047,-1749.9001299,6.20480022917036e-09,3.545802485039498e-12,1,1,,1,0.0,0,0.037744,0.0022635,70,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.26470606188003,-25.264706062,1.1996803550573532e-10,4.748443746439472e-12,1,1,,1,0.0,0,0.034079,0.0060002,255,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.139258920376,-2581.1392641,5.179624167794827e-06,2.0067201486708137e-09,1,1,,1,0.0,0,0.167152,0.136491,1875,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.024118,0.0007165,45,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
