instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
pilot4,-2581.1392641,numerical_error,0.0,1.0,0.271134,998,optimal,-2581.1392588838853,2.0208576060843163e-09,0.153969,0,1.761,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
recipe,-266.616,optimal,-266.61600000000027,1.0660166468030429e-15,0.002808,49,optimal,-266.61600000000027,1.0660166468030429e-15,0.006054,1,0.464,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
sc105,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.010939,107,optimal,-52.20206121170723,5.608301983062969e-12,0.006175,1,1.771,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
sc205,-52.202061212,optimal,-52.202061211707225,5.608438096986301e-12,0.026851,255,optimal,-52.20206121170721,5.608710324832966e-12,0.009007,1,2.981,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.002393,46,optimal,-64.5750770585645,6.743958545329677e-12,0.002915,1,0.821,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
sc50b,-70.0,optimal,-70.00000000000003,4.0602442043434295e-16,0.002547,50,optimal,-69.99999999999999,2.0301221021717148e-16,0.003641,1,0.699,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scagr25,-14753433.061,optimal,-14753433.060768528,1.5689417804183323e-11,0.136372,591,optimal,-14753433.060768528,1.5689417804183323e-11,0.028055,1,4.861,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scagr7,-2331389.2548,optimal,-2331389.8243309837,2.4428824242150705e-07,0.005212,159,optimal,-2331389.824330984,2.442882426212426e-07,0.014766,1,0.353,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scfxm1,18416.759028,optimal,18416.759028348937,1.89466961451629e-11,0.064656,648,optimal,18416.759028348948,1.8947288754123286e-11,0.034496,1,1.874,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scorpion,1878.1248227,optimal,1878.124822738107,2.0289875331502864e-11,0.015067,323,optimal,1878.1248227381068,2.0289754267304842e-11,0.012557,1,1.2,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scrs8,904.29998619,optimal,904.2969538007918,3.3533000713526593e-06,0.071155,645,optimal,904.296953800792,3.3533000711012235e-06,0.043099,1,1.651,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scsd1,8.6666666743,optimal,8.666666674333364,3.8496385532573e-12,0.026459,534,optimal,8.666666674333364,3.8496385532573e-12,0.012289,1,2.153,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scsd6,50.500000078,optimal,50.50000007826238,5.1956854579974005e-12,0.073753,627,optimal,50.5000000782623,5.194137741149621e-12,0.030154,1,2.446,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
scsd8,904.99999993,optimal,904.9999999254647,5.011265558830382e-12,0.137363,926,optimal,904.9999999254643,5.011768042091069e-12,0.172089,1,0.798,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
sctap1,1412.25,optimal,1412.25,0.0,0.024681,303,optimal,1412.25,0.0,0.024195,1,1.02,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
share1b,-76589.318579,optimal,-76589.31857918552,2.4223007945303396e-12,0.004544,207,optimal,-76589.31857918572,2.42496078442158e-12,0.013642,1,0.333,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
share2b,-415.73224074,optimal,-415.7322407414174,3.409383517552798e-12,0.004588,114,optimal,-415.73224074141945,3.4143058278247812e-12,0.009426,1,0.487,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
ship04l,1793324.538,optimal,1793324.537970356,1.6530191229676178e-11,0.061693,511,optimal,1793324.5379703562,1.6530061397825488e-11,0.034003,1,1.814,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
ship04s,1798714.7004,optimal,1798714.7004453922,2.5235906848026957e-11,0.035062,385,optimal,1798714.7004453917,2.523564796245316e-11,0.025923,1,1.353,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
stair,-251.26695119,optimal,-251.26695119299632,1.1924888174908381e-11,1.623179,978,optimal,-251.26695119296335,1.1793676398814761e-11,0.0592,1,27.418,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
standata,1257.6995,optimal,1257.6995,0.0,0.010901,53,optimal,1257.6995,0.0,0.021981,1,0.496,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
standmps,1406.0175,optimal,1406.0175,0.0,0.018452,193,optimal,1406.0175,0.0,0.023528,1,0.784,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
stocfor1,-41131.976219,optimal,-41131.976219436416,1.0610217494357637e-11,0.004899,68,optimal,-41131.97621943641,1.061004060138329e-11,0.007227,1,0.678,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
tuff,0.29214776509,numerical_error,0.0,0.29214776509,0.192265,1001,optimal,0.292147765093613,3.612998789037647e-12,0.035277,0,5.45,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
wood1p,1.4429024116,numerical_error,0.0,1.0,0.795022,1000,optimal,1.442902411573409,1.8428794247638033e-11,0.276466,0,2.876,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
