instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,highs_objective,relative_difference,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
Linf_520c,f92054c0b86f40f524b74d9f3315d2466e432fc3df57e8db724eb92f32b29207,93326,69004,566193,time_limit,"time limit 300s reached inside the factorization, which was abandoned",0.0,,,,,0,368.4728193999981,367.0584109,0,ipm,300.0,d24662f,Windows-AMD64,2026-09-17T17:48:02+00:00,algorithm=ipm
bdry2,c7c372628defdb8889499ef5a949bbdbdbfd9a96dd00ceecf2ce5427639bc7a9,,,,crashed,"terminate called after throwing an instance of 'std::bad_alloc'
  what():  std::bad_alloc",,,,,,0,55.413487599998916,,,,300.0,d24662f,Windows-AMD64,2026-09-17T17:48:02+00:00,algorithm=ipm
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,14646,23968,133184,feasible,"the iterate stopped being finite at iteration 13; the best earlier iterate is reported as a feasible point (relative gap 1.8e-05, infeasibility 4.9e-10 / 1.8e-11)",2.0000094950134684,,,1,,0,1.7853050000012445,1.4078816,13,ipm,300.0,d24662f,Windows-AMD64,2026-09-17T17:48:02+00:00,algorithm=ipm
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,,,,crashed,"terminate called after throwing an instance of 'std::bad_alloc'
  what():  std::bad_alloc",,,,,,0,616.8085482999995,,,,300.0,d24662f,Windows-AMD64,2026-09-17T17:48:02+00:00,algorithm=ipm
irish-electricity,60d7ec4482bae32a3747f09c2d8294b8e50dda31d1a82c37a6f6bf17c8c84458,104259,61728,523257,numerical_error,"the iterate stopped being finite at iteration 97; the best earlier iterate is reported as a feasible point (relative gap 2.5e-07, infeasibility 1.2e-08 / 9.1e-11); engine reported feasible but the ret",2454405.396925251,,,,,0,94.6130118000001,93.5958591,97,ipm,300.0,d24662f,Windows-AMD64,2026-09-17T18:05:29+00:00,algorithm=ipm
qap15,a24d84de54c73d7ea01ebaf07739e6884d57794d4b1184c0e01a6a4495695712,6330,22275,94950,time_limit,"time limit 300s reached inside the factorization, which was abandoned",1040.997431780959,,,,,0,300.1853631999984,300.036414,19,ipm,300.0,d24662f,Windows-AMD64,2026-09-17T18:05:29+00:00,algorithm=ipm
rmine15,49bef3a70183d8c465bcff0719c2522f42fec0ef63a6e4b0a33714f2bec5e4bc,358395,42438,879732,time_limit,"time limit 300s reached inside the factorization, which was abandoned",-3513.199731,,,,,0,302.4235418999997,300.357118,0,ipm,300.0,d24662f,Windows-AMD64,2026-09-17T18:05:29+00:00,algorithm=ipm
supportcase10,e65868b17479a5a4c408af4a8e6a412c61d681918d7c9d5ad3bbe46966634f0b,165684,14770,555082,time_limit,"time limit 300s reached inside the factorization, which was abandoned",35.0,,,,,0,303.03374079999776,302.0863734,0,ipm,300.0,d24662f,Windows-AMD64,2026-09-17T18:05:29+00:00,algorithm=ipm
