instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.01872800933677,-315.01872802,1.0663256944098976e-08,3.384959685134016e-11,1,1,,1,0.0,0,0.470758,0.007063,15,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394278684,1373.0803942,7.868402462918311e-08,5.7304747021041625e-11,1,1,,1,0.0,0,0.344153,0.0206062,45,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 5.3e-07 / 5.2e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,1518.5098965,1518.5098965,1.0,0,,,0,0.0,0,0.229619,0.0126939,13,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,numerical_error,"the interior-point iteration stalled after 41 iterations (steps 2.6e-09 / 1.2e-09); the model may be infeasible or unbounded, which this method does not certify",-2479.7431892417003,2690.0129138,5169.7561030417,1.921833191402317,0,,,0,0.0,0,0.26945,0.0400182,41,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
cycle,bfc8edde30952b8dfa354679ea3a3231c2e7eb762c0ff8f0f845505741816d53,1903,2857,20720,feasible,"the iterate stopped being finite at iteration 35; the best earlier iterate is reported as a feasible point (relative gap 2.7e-07, infeasibility 5.2e-15 / 2.1e-07)",-5.226262948406589,-5.2263930249,0.00013007649341112426,2.488838722832428e-05,0,1,,0,0.0,0,0.539149,0.3309681,35,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
czprob,b1f30bd25705fcc3c4f195d7e627e437788035f81fae9198e3096471b947f704,929,3523,10669,numerical_error,"the interior-point iteration stalled after 222 iterations (steps 2.6e-07 / 3.7e-07); the model may be infeasible or unbounded, which this method does not certify",1218463.3587599995,2185196.6989,966733.3401400007,0.4424010619394775,0,,,0,0.0,0,0.467894,0.2559432,222,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,numerical_error,"the interior-point iteration stalled after 10 iterations (steps 1.7e-09 / 3.9e-09); the model may be infeasible or unbounded, which this method does not certify",4554.268068169712,122784.23615,118229.96808183029,0.962908365023292,0,,,0,0.0,0,0.669219,0.2758663,10,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,feasible,"the iterate stopped being finite at iteration 24; the best earlier iterate is reported as a feasible point (relative gap 2.2e-08, infeasibility 1.7e-13 / 7.5e-12)",315.4916735329643,315.49166667,6.862964312404074e-06,2.175323483134229e-08,0,1,,0,0.0,0,0.546921,0.2509752,24,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.1779998430382,-1435.178,1.5696195987402461e-07,1.0936759055254791e-10,1,1,,1,0.0,0,0.438768,0.0485638,17,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,feasible,"the iterate stopped being finite at iteration 18; the best earlier iterate is reported as a feasible point (relative gap 3.4e-08, infeasibility 1.0e-10 / 1.8e-11)",-987.2939847779568,-987.294,1.522204320281162e-05,1.541794359411849e-08,0,1,,0,0.0,0,0.666891,0.4288205,18,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,time_limit,"time limit 120s reached inside the factorization, which was abandoned",29079854.34659192,11266400.0,17813454.34659192,1.5811132523780373,0,,,0,0.0,0,120.345804,120.0278027,53,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
