instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 123650 nodes,-1.5000000000000002,-1.50000000000001,-1.8181818181818186,0.31818181818181834,0.2121212121212122,1,0,1,123650,60.026277,60.0011801,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 92175 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,92175,60.025939,60.0015843,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 196385 nodes,inf,27.0,24.0,inf,inf,0,0,,196385,60.027653,60.0009501,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 106835 nodes,inf,37.0,21.0,inf,inf,0,0,,106835,60.045350,60.0011985,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,509,0.298908,0.2755309,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (1.050e+02 absolute, 8.739e-05 relative) after 1410 nodes",1201499.9999999998,1201500.0,1201395.0,104.99999999976717,8.739076154787115e-05,1,0,1,1410,0.047982,0.0333293,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 95426 nodes,-9430.730724407998,-9476.155197,-9500.954372622098,70.22364821409974,0.007446257375618996,0,0,1,95426,60.028871,60.0015567,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 110783 nodes,6872.821391197999,6840.96564179,6782.8333590010925,89.98803219690672,0.013093317441968462,0,0,1,110783,60.025598,60.000707,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,139,0.029236,0.010821,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,feasible,stopped at the time limit after 60.00s and 117206 nodes,30680.0,21165.99999999978,13940.763114785548,16739.23688521445,0.5456074604046431,0,0,1,117206,60.032070,60.0008345,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 99836 nodes,12099.0,11392.99999884458,7066.53,5032.47,0.41594098685841807,0,0,1,99836,60.038767,60.0003206,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 139276 nodes,20.0,0.9999999999990905,0.0,20.0,1.0,0,0,1,139276,60.023797,60.000931,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 146936 nodes,7.000000000000204,1.0,0.0,7.000000000000204,1.0,0,0,1,146936,60.042892,60.0027497,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 133722 nodes,18.999999999999616,1.0,0.0,18.999999999999616,1.0,0,0,1,133722,60.029517,60.0011044,63ec8de,Windows-AMD64,2026-09-06T06:28:16+00:00,mip_branching=most-fractional
