instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.378092420928,-9146.3780924,2.092747308779508e-08,2.2880612277754342e-12,1,1,,1,0.0,0,0.080057,0.0184514,56,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.2932938321,-68464.293294,1.6789999790489674e-07,2.4523731981559937e-12,1,1,,1,0.0,0,0.445489,0.2917307,224,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722057,-664.21873953,0.00022174220566739677,3.3383912929692586e-07,1,1,,1,0.0,0,0.053502,0.0133978,309,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357535,-106870941.29,0.003575339913368225,3.345474335878028e-11,1,1,,1,0.0,0,0.400972,0.3581798,3630,simplex-dual+primal,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48256296,-160834336.48,0.002562969923019409,1.5935464895819175e-11,1,1,,1,0.0,0,0.908038,0.8577061,3853,simplex-dual+primal,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.8147115,-47787811.815,0.00028849393129348755,6.036977219428426e-12,1,1,,1,0.0,0,0.176903,0.1389157,1932,simplex-dual+primal,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.821863046,-896644.82186,3.0460068956017494e-06,3.3971164739267804e-12,1,1,,1,0.0,0,0.056211,0.0146514,176,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001299062058,-1749.9001299,6.205937097547576e-09,3.5464521611883195e-12,1,1,,1,0.0,0,0.032661,0.0026458,51,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.264706061880016,-25.264706062,1.1998224636045052e-10,4.74900622496902e-12,1,1,,1,0.0,0,0.048075,0.0153528,243,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,,-2581.139258883888,-2581.1392641,5.2161121857352555e-06,2.0208565489991203e-09,1,1,,1,0.0,0,0.183022,0.136267,1060,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
